prediction,name
0,nonAMP1817
0,nonAMP333
0,nonAMP3044
0,nonAMP2434
0,nonAMP1964
1,AMP1147
0,nonAMP1391
1,AMP1633
0,nonAMP2454
1,AMP739
1,AMP30
0,nonAMP305
0,nonAMP2370
0,nonAMP2419
0,nonAMP2127
1,AMP2697
0,nonAMP1444
0,nonAMP2103
1,AMP1170
1,nonAMP732
1,AMP1559
1,AMP855
1,AMP1292
1,AMP2734
1,AMP3177
0,nonAMP2324
0,nonAMP1261
1,AMP1858
1,AMP197
0,nonAMP929
0,nonAMP316
1,AMP3233
0,nonAMP2848
1,AMP336
1,AMP1621
0,nonAMP1419
1,nonAMP2147
1,AMP1774
0,nonAMP2918
1,AMP1977
1,AMP2752
0,nonAMP1206
1,nonAMP751
1,AMP2765
1,AMP1499
0,nonAMP526
0,nonAMP2886
0,nonAMP311
1,AMP529
1,AMP1623
1,AMP757
0,nonAMP2593
0,nonAMP248
1,AMP1811
0,nonAMP547
0,nonAMP2894
1,AMP1981
1,AMP2049
0,nonAMP2000
1,AMP362
0,nonAMP2250
1,AMP961
1,AMP425
1,AMP2328
0,nonAMP2759
0,nonAMP358
1,AMP2066
1,AMP1717
0,nonAMP1760
1,AMP225
1,AMP586
1,AMP2030
0,nonAMP2682
1,AMP390
1,nonAMP2895
1,AMP489
0,nonAMP1255
0,nonAMP1003
1,AMP40
1,AMP850
0,nonAMP156
1,AMP468
1,AMP249
0,nonAMP1153
0,nonAMP523
1,AMP1803
0,nonAMP1920
1,AMP3067
1,AMP1419
1,AMP2191
0,nonAMP1044
1,AMP1037
0,nonAMP2939
1,AMP2923
0,AMP1298
0,nonAMP189
1,AMP2219
0,nonAMP497
0,nonAMP2733
1,AMP911
1,AMP2901
0,nonAMP2286
0,nonAMP2033
1,AMP3140
0,nonAMP1780
1,nonAMP2899
1,AMP2666
0,nonAMP3107
0,nonAMP456
0,nonAMP336
1,AMP2212
0,nonAMP371
1,AMP2835
0,nonAMP968
1,AMP1468
1,AMP2806
0,nonAMP2786
0,nonAMP2150
0,nonAMP2098
1,AMP2516
1,AMP2315
1,AMP2268
1,AMP42
1,AMP2730
1,AMP626
1,AMP2124
0,nonAMP1084
0,nonAMP720
1,AMP1102
1,AMP1804
1,AMP2837
1,AMP2545
1,AMP615
1,AMP685
0,nonAMP3190
1,AMP3008
1,AMP944
1,AMP1444
0,nonAMP1014
1,AMP3135
0,nonAMP2649
1,AMP2760
0,nonAMP2180
0,nonAMP3202
1,AMP47
0,nonAMP2262
0,nonAMP2845
0,nonAMP1504
0,nonAMP1992
0,nonAMP1849
0,nonAMP127
0,nonAMP35
0,nonAMP3266
0,nonAMP1252
1,AMP1994
1,AMP2827
1,AMP833
1,AMP3028
0,nonAMP946
1,AMP2045
0,nonAMP1896
0,nonAMP1068
1,AMP1876
0,nonAMP779
1,AMP2810
0,nonAMP362
0,nonAMP3139
1,nonAMP1820
0,nonAMP129
0,nonAMP3055
1,AMP2097
1,AMP724
0,nonAMP236
0,nonAMP564
1,AMP857
1,AMP2567
0,nonAMP1275
0,nonAMP996
0,nonAMP217
1,AMP1484
1,AMP3089
0,nonAMP1652
1,AMP3155
0,nonAMP2256
0,nonAMP3256
0,nonAMP399
0,nonAMP1819
0,nonAMP670
1,AMP1734
1,AMP526
1,AMP2373
1,AMP2581
1,AMP1110
1,AMP2021
0,nonAMP3065
1,AMP0
0,nonAMP2674
0,nonAMP2948
0,nonAMP269
1,AMP1658
1,nonAMP1351
0,nonAMP205
1,nonAMP325
1,AMP2928
0,nonAMP2213
0,AMP2157
1,AMP1834
1,AMP481
1,AMP1653
0,nonAMP1735
1,AMP399
1,AMP1105
0,nonAMP1373
0,nonAMP1164
1,AMP984
0,nonAMP329
0,nonAMP801
1,AMP1702
0,nonAMP1125
1,AMP227
1,AMP1246
1,AMP848
1,AMP2098
0,nonAMP2922
1,AMP195
0,nonAMP574
0,nonAMP1047
1,AMP2261
1,AMP2159
1,AMP261
1,AMP1619
1,AMP755
1,AMP809
1,AMP152
1,AMP1357
0,nonAMP1189
0,nonAMP14
0,nonAMP2949
1,AMP1789
1,AMP792
1,AMP1307
1,AMP1990
0,nonAMP2453
0,nonAMP2722
1,AMP509
1,AMP3232
0,nonAMP2471
1,AMP1613
1,AMP541
0,nonAMP1394
0,nonAMP1665
0,nonAMP1340
1,AMP2198
1,AMP2669
1,AMP1109
1,AMP563
0,nonAMP1485
1,AMP1326
1,AMP2733
0,nonAMP1258
0,nonAMP2908
0,nonAMP416
0,nonAMP67
1,AMP111
0,nonAMP2238
1,AMP2073
0,nonAMP2866
0,nonAMP809
0,nonAMP1437
1,AMP2302
1,AMP1183
1,AMP2019
0,nonAMP1832
0,nonAMP1048
0,nonAMP2888
0,nonAMP585
1,nonAMP2264
0,nonAMP867
0,nonAMP882
1,AMP2355
0,nonAMP840
1,AMP2936
0,nonAMP816
1,AMP2340
1,AMP1191
0,nonAMP2241
1,nonAMP666
0,nonAMP1697
0,nonAMP1169
0,nonAMP1702
0,nonAMP1105
1,AMP1791
0,AMP2126
0,nonAMP654
0,nonAMP1939
0,nonAMP2236
1,AMP1069
1,AMP2456
1,AMP3195
1,AMP3154
0,nonAMP2971
0,nonAMP1810
1,AMP304
0,nonAMP619
1,AMP1428
1,AMP153
0,nonAMP63
0,nonAMP2909
0,nonAMP3153
0,nonAMP394
1,AMP1641
1,AMP2605
1,nonAMP1561
1,AMP1502
1,AMP2102
1,AMP3093
0,nonAMP2687
0,nonAMP1483
1,AMP2650
0,nonAMP344
0,nonAMP639
1,AMP1576
0,nonAMP1595
0,nonAMP1173
1,AMP3055
1,AMP191
0,nonAMP709
0,nonAMP831
0,nonAMP2959
0,nonAMP1778
0,nonAMP420
1,AMP315
1,AMP775
0,nonAMP1108
1,nonAMP611
1,AMP391
0,nonAMP2943
0,nonAMP1532
0,nonAMP2764
0,nonAMP2965
1,AMP1891
1,AMP1128
0,nonAMP1287
1,AMP1642
0,nonAMP2080
1,AMP2691
1,AMP849
0,nonAMP3195
1,AMP2927
1,AMP285
0,nonAMP2023
0,nonAMP1675
1,AMP698
0,nonAMP328
1,AMP194
1,AMP814
0,nonAMP1987
0,nonAMP712
1,AMP1831
0,nonAMP81
1,AMP1287
0,nonAMP3026
1,AMP2356
1,AMP1262
1,AMP674
1,AMP564
0,nonAMP1097
1,AMP1546
1,AMP714
0,nonAMP1310
0,nonAMP2721
0,nonAMP2972
1,AMP1769
0,nonAMP410
0,nonAMP1211
1,AMP2959
1,AMP1564
1,AMP1538
1,AMP1879
0,nonAMP1401
0,nonAMP123
0,nonAMP2928
0,nonAMP2302
0,AMP2137
0,nonAMP975
1,AMP2543
0,nonAMP57
0,nonAMP587
0,nonAMP763
1,AMP2661
0,nonAMP2776
1,AMP2602
0,nonAMP1526
1,AMP608
1,AMP728
1,AMP2592
1,AMP168
1,nonAMP2129
1,AMP2425
1,AMP1823
1,AMP2367
1,AMP1563
1,AMP1718
1,nonAMP2441
1,AMP2619
1,AMP246
0,nonAMP1098
1,AMP1709
0,nonAMP1577
0,nonAMP668
0,nonAMP534
1,AMP1360
1,AMP2777
1,AMP767
0,nonAMP2247
0,nonAMP2277
1,AMP2819
1,nonAMP3035
1,AMP1747
0,nonAMP3101
0,nonAMP2299
1,AMP3265
0,nonAMP1961
1,AMP2958
0,nonAMP2489
1,AMP2009
1,AMP2715
0,nonAMP976
1,AMP3065
0,nonAMP1388
1,AMP2860
1,AMP2291
0,nonAMP2327
1,AMP2515
0,nonAMP339
1,AMP886
0,nonAMP2160
1,AMP24
1,AMP1266
1,AMP1447
0,nonAMP1359
0,nonAMP606
1,AMP167
1,AMP2231
0,nonAMP3254
0,nonAMP775
0,nonAMP1915
1,AMP3000
1,AMP2755
1,AMP2694
1,AMP1963
1,AMP2785
1,AMP1104
1,AMP1454
0,nonAMP1295
0,nonAMP1442
1,AMP3176
0,nonAMP665
0,nonAMP3091
1,nonAMP749
1,AMP3042
1,AMP1968
0,AMP3186
1,AMP3171
1,AMP219
0,nonAMP1914
1,AMP2973
1,AMP983
0,nonAMP2517
1,AMP3004
1,AMP1168
0,nonAMP2983
0,nonAMP2661
1,AMP1872
0,nonAMP19
0,nonAMP46
1,AMP1445
1,AMP1020
1,AMP424
0,nonAMP319
1,AMP6
0,nonAMP1154
1,AMP2957
1,AMP1323
0,nonAMP2692
1,AMP2411
1,AMP2238
0,nonAMP1796
1,AMP2844
0,nonAMP2794
1,AMP1509
1,AMP2409
1,AMP2639
0,nonAMP2085
0,nonAMP880
1,AMP64
0,nonAMP978
1,AMP1952
0,nonAMP1386
0,nonAMP1316
0,nonAMP1747
1,AMP628
0,nonAMP330
0,nonAMP1919
1,AMP758
0,nonAMP3184
0,nonAMP2882
1,AMP3022
0,nonAMP1989
0,nonAMP2660
0,nonAMP265
0,nonAMP2912
0,nonAMP2388
0,nonAMP1650
0,nonAMP1155
0,nonAMP2385
0,nonAMP187
1,AMP1293
0,nonAMP3082
0,nonAMP2516
0,nonAMP2756
0,nonAMP163
1,AMP2890
1,nonAMP1860
0,nonAMP2656
0,nonAMP89
0,nonAMP1051
0,nonAMP3054
0,nonAMP1918
1,AMP2771
0,nonAMP673
1,AMP1072
0,nonAMP1900
0,nonAMP2671
0,nonAMP782
1,AMP2213
0,nonAMP97
0,nonAMP414
1,AMP816
0,nonAMP861
1,AMP1740
1,AMP1098
1,AMP1343
0,nonAMP546
0,nonAMP1807
0,nonAMP758
1,AMP2862
1,AMP1896
1,AMP1878
0,nonAMP357
0,nonAMP1737
1,AMP1984
1,AMP2851
1,AMP1778
1,AMP1066
1,AMP2585
0,nonAMP3229
1,AMP457
0,nonAMP2292
1,AMP2520
1,AMP1332
1,AMP2035
0,nonAMP1910
0,nonAMP2832
1,AMP953
0,nonAMP1997
0,nonAMP807
0,nonAMP2533
0,nonAMP440
1,AMP1075
1,AMP1478
0,nonAMP1177
1,nonAMP3192
1,AMP2103
0,nonAMP1791
1,nonAMP2780
1,AMP2977
1,AMP2531
0,nonAMP1272
0,nonAMP657
1,AMP388
1,AMP2782
1,AMP491
0,nonAMP397
0,nonAMP2496
1,AMP3204
1,AMP534
0,nonAMP601
1,AMP96
1,AMP837
1,AMP1758
0,nonAMP1303
0,nonAMP193
0,nonAMP2611
1,AMP2141
1,AMP1422
0,nonAMP3050
0,nonAMP641
1,AMP2984
1,nonAMP514
1,AMP84
0,nonAMP1429
1,nonAMP2417
0,nonAMP2830
1,AMP2466
1,AMP656
0,nonAMP485
0,nonAMP2266
0,nonAMP765
0,nonAMP1734
0,nonAMP920
0,nonAMP1326
1,AMP1545
0,nonAMP2285
1,AMP1242
1,AMP3261
1,AMP119
0,nonAMP1411
1,AMP2130
0,nonAMP3204
1,AMP1856
1,AMP1353
1,AMP2651
1,nonAMP1654
1,AMP2907
1,AMP1245
1,AMP2846
0,nonAMP1229
0,nonAMP1512
0,nonAMP3125
0,nonAMP2546
1,AMP2931
1,AMP1827
1,AMP2640
1,AMP1712
0,nonAMP1974
1,AMP1496
1,AMP1349
1,AMP569
0,nonAMP1298
1,AMP1009
0,nonAMP482
1,AMP2496
1,AMP2590
1,AMP1536
0,nonAMP301
1,AMP1313
0,nonAMP2036
0,nonAMP2038
0,nonAMP1474
1,AMP1121
0,nonAMP2727
1,AMP209
1,AMP1213
0,nonAMP2634
1,AMP2060
1,AMP1276
0,nonAMP2408
0,nonAMP433
1,AMP1035
1,AMP1941
1,AMP2906
1,AMP2731
0,nonAMP230
0,nonAMP1761
0,nonAMP2189
0,nonAMP904
0,nonAMP1038
1,AMP940
0,nonAMP1901
0,nonAMP2793
0,nonAMP2251
0,nonAMP2190
1,AMP3110
0,nonAMP1556
1,AMP3014
1,AMP2656
0,nonAMP427
0,nonAMP869
0,nonAMP1271
1,AMP2527
0,nonAMP1019
1,AMP2139
0,nonAMP2234
1,AMP978
0,nonAMP1241
1,AMP1083
1,AMP318
0,nonAMP812
0,nonAMP1943
0,nonAMP552
1,AMP1685
0,nonAMP706
1,nonAMP1156
1,AMP2242
0,nonAMP2020
0,nonAMP475
1,AMP242
1,AMP405
0,nonAMP623
0,nonAMP390
0,nonAMP3117
1,AMP2262
1,AMP1961
1,AMP151
0,nonAMP2430
0,nonAMP2763
1,AMP1845
1,AMP651
1,AMP896
1,AMP2988
1,AMP54
1,AMP2278
0,nonAMP2268
0,nonAMP262
1,AMP784
1,AMP791
1,AMP1081
0,nonAMP1334
1,AMP1962
0,nonAMP2052
0,nonAMP1280
0,nonAMP1714
0,nonAMP1026
0,nonAMP2193
0,nonAMP3198
1,AMP875
1,AMP1217
1,AMP2575
1,AMP2648
0,nonAMP860
0,nonAMP267
0,nonAMP1006
0,nonAMP1506
0,nonAMP1222
1,AMP663
1,AMP1751
0,nonAMP1881
0,nonAMP1662
0,nonAMP354
0,nonAMP375
0,nonAMP1403
1,AMP33
1,AMP2166
0,nonAMP2097
0,nonAMP384
0,nonAMP161
1,AMP1434
0,nonAMP1488
1,AMP2230
0,nonAMP2347
1,AMP1340
1,AMP3120
0,nonAMP2400
0,nonAMP785
0,nonAMP1726
0,nonAMP2921
0,nonAMP1050
0,nonAMP1628
1,AMP2607
0,nonAMP1103
1,AMP1436
0,nonAMP1010
1,AMP1321
1,AMP1368
0,nonAMP1745
0,nonAMP1527
1,AMP968
0,nonAMP2019
1,AMP667
0,nonAMP365
1,AMP735
0,nonAMP1366
1,AMP2788
0,nonAMP1674
0,nonAMP9
1,AMP1556
1,AMP945
1,AMP1464
0,nonAMP1882
1,AMP908
1,AMP3132
1,AMP456
0,nonAMP2840
0,nonAMP242
0,nonAMP1763
1,AMP1895
0,nonAMP2739
0,nonAMP2725
1,AMP475
1,AMP2655
1,AMP2743
0,nonAMP2843
0,nonAMP181
0,nonAMP1297
0,nonAMP1254
0,nonAMP1904
0,nonAMP1435
0,nonAMP823
0,nonAMP2228
1,AMP1021
1,AMP3054
0,nonAMP3231
1,AMP1458
1,AMP3220
1,AMP2961
0,nonAMP3233
1,AMP1029
0,nonAMP1907
1,AMP523
1,AMP1156
0,nonAMP3124
0,nonAMP356
0,nonAMP1559
1,AMP1738
0,AMP3184
1,AMP49
1,AMP1498
0,nonAMP2301
1,AMP1176
0,nonAMP2043
1,AMP1089
1,AMP207
0,nonAMP1999
0,nonAMP1457
1,nonAMP128
0,nonAMP1139
0,nonAMP1604
1,AMP2884
1,AMP1749
1,AMP1719
1,AMP1312
0,nonAMP993
0,nonAMP2382
1,AMP1025
1,AMP1485
1,AMP1225
0,nonAMP655
1,AMP496
0,nonAMP2891
0,nonAMP1404
1,AMP1045
1,AMP1227
0,nonAMP944
1,AMP1367
1,AMP2215
0,nonAMP1857
0,nonAMP1149
1,AMP2455
1,AMP3157
0,nonAMP49
1,AMP2196
1,AMP629
1,AMP189
0,nonAMP2509
0,nonAMP2586
0,nonAMP2761
0,nonAMP2554
1,AMP902
0,nonAMP2513
0,nonAMP3015
1,AMP958
0,nonAMP2995
1,nonAMP1640
1,AMP2251
0,nonAMP2361
0,nonAMP2397
1,AMP1865
0,nonAMP923
0,nonAMP1903
1,AMP2609
1,AMP279
1,AMP467
0,nonAMP139
0,nonAMP1691
1,AMP2800
1,AMP959
1,AMP419
1,AMP2951
0,nonAMP480
0,nonAMP2297
1,AMP3218
1,AMP2712
0,nonAMP299
0,nonAMP1224
0,nonAMP2170
0,nonAMP3123
1,AMP1901
0,AMP101
1,AMP1244
1,AMP392
1,nonAMP2416
0,nonAMP149
0,nonAMP3118
1,AMP2002
1,AMP2740
0,nonAMP1635
0,nonAMP1564
1,AMP342
1,AMP2451
1,AMP181
0,nonAMP2165
1,AMP2432
1,AMP222
1,nonAMP3056
0,nonAMP152
1,AMP2435
1,AMP2638
0,nonAMP1055
0,nonAMP2122
1,AMP2020
0,nonAMP1934
1,AMP2998
0,nonAMP958
1,AMP2994
0,nonAMP385
1,AMP2422
0,nonAMP1414
1,AMP1302
1,AMP1282
0,nonAMP453
0,nonAMP1159
1,AMP1201
1,AMP1345
0,nonAMP1971
1,AMP618
0,nonAMP3076
1,AMP2013
1,AMP3159
1,AMP1930
0,nonAMP1140
0,nonAMP1227
1,AMP28
0,nonAMP1096
0,nonAMP2481
1,AMP2478
0,nonAMP389
0,nonAMP1792
1,AMP2985
1,AMP2192
1,AMP1933
0,nonAMP2487
1,AMP1925
0,nonAMP2121
1,AMP163
1,AMP3256
1,AMP1844
0,nonAMP1670
0,nonAMP2466
0,nonAMP1060
1,AMP1821
1,AMP1400
1,AMP980
1,nonAMP2240
1,AMP2716
1,AMP498
0,nonAMP1407
1,AMP365
1,AMP1610
1,nonAMP2155
0,nonAMP2045
1,AMP1077
1,AMP1562
0,nonAMP1722
1,AMP2675
1,AMP892
0,nonAMP3028
0,nonAMP683
0,nonAMP1039
0,nonAMP629
1,AMP2659
1,AMP422
1,AMP2854
1,AMP948
1,AMP1239
1,AMP2902
0,nonAMP522
1,AMP718
0,nonAMP2612
0,nonAMP1040
0,nonAMP1897
1,AMP2288
1,AMP2964
1,AMP1456
1,AMP1195
0,nonAMP2981
1,AMP805
1,AMP1772
0,nonAMP600
1,AMP2274
1,AMP2147
1,AMP2983
1,AMP3100
0,nonAMP1076
1,AMP1022
1,AMP890
1,AMP957
0,nonAMP2010
1,AMP1752
0,nonAMP2174
0,nonAMP2544
0,nonAMP3106
0,nonAMP1751
1,AMP265
0,nonAMP452
1,AMP1184
1,AMP3262
1,AMP2444
0,nonAMP2219
1,AMP1186
1,AMP2536
1,AMP173
1,AMP2043
1,AMP1207
1,nonAMP2056
1,AMP966
0,nonAMP1936
0,nonAMP873
1,AMP1799
1,AMP2721
1,AMP947
1,AMP1595
0,nonAMP318
1,AMP178
0,nonAMP3252
0,nonAMP2773
0,nonAMP909
0,nonAMP2781
1,AMP3039
1,nonAMP2249
1,AMP2244
1,nonAMP887
0,nonAMP1585
1,AMP1398
0,nonAMP2468
0,nonAMP1497
0,nonAMP1813
0,nonAMP2816
1,AMP3087
0,nonAMP1059
0,nonAMP1699
0,nonAMP2945
1,AMP1432
0,nonAMP1766
0,nonAMP1099
0,nonAMP970
0,nonAMP3236
1,nonAMP3182
1,AMP2732
1,AMP1410
0,nonAMP941
0,nonAMP2519
0,nonAMP827
1,AMP1203
1,AMP67
0,nonAMP2846
0,AMP3148
1,AMP3142
0,nonAMP2002
0,nonAMP1930
0,nonAMP458
1,AMP1798
0,nonAMP2391
1,AMP576
0,nonAMP223
0,nonAMP1706
0,nonAMP2712
0,nonAMP2887
1,AMP1315
1,nonAMP2095
0,nonAMP3089
1,nonAMP18
1,AMP3229
0,nonAMP3150
1,AMP2662
0,nonAMP2964
0,nonAMP2875
0,nonAMP54
1,AMP1790
1,AMP1296
0,nonAMP2296
0,nonAMP2933
0,nonAMP1657
1,AMP1678
1,AMP1291
0,nonAMP125
0,nonAMP1345
1,AMP3138
0,nonAMP2543
0,nonAMP773
1,AMP1034
0,nonAMP2777
1,nonAMP864
0,nonAMP504
1,AMP2705
0,nonAMP2772
1,AMP1881
1,AMP601
0,nonAMP270
0,nonAMP1736
0,nonAMP2606
0,nonAMP3011
1,AMP1451
1,AMP3131
1,AMP206
1,AMP2551
1,AMP2055
1,AMP1272
0,nonAMP196
1,AMP482
1,AMP2598
0,nonAMP1767
0,nonAMP2483
1,AMP2701
1,AMP3123
1,nonAMP50
0,nonAMP3093
0,nonAMP1730
1,AMP136
0,nonAMP1845
1,AMP1960
0,nonAMP1450
0,nonAMP254
0,nonAMP1790
0,nonAMP2173
0,nonAMP2319
1,AMP1599
1,AMP138
0,nonAMP1291
1,AMP2250
0,nonAMP2767
0,nonAMP1719
0,nonAMP3014
0,AMP2106
1,AMP559
0,nonAMP1695
1,AMP369
1,AMP3169
1,AMP2637
0,nonAMP1816
1,AMP2956
1,AMP840
1,AMP3077
0,nonAMP767
0,nonAMP584
1,AMP1151
0,nonAMP419
1,AMP2032
0,nonAMP1422
1,AMP3205
0,nonAMP1244
1,AMP2871
0,nonAMP3130
0,nonAMP0
1,AMP2829
1,AMP2621
1,AMP872
1,AMP309
0,nonAMP2132
0,nonAMP1828
0,nonAMP595
0,nonAMP2432
0,nonAMP2707
1,AMP2133
1,AMP2620
1,AMP72
0,nonAMP2462
0,nonAMP2322
1,AMP1389
1,AMP1900
1,AMP557
1,AMP2873
0,nonAMP1387
0,nonAMP2740
0,nonAMP6
1,AMP2992
1,AMP3234
1,AMP2812
0,nonAMP2719
1,AMP97
0,nonAMP3144
1,AMP169
1,AMP1902
1,AMP2275
1,AMP869
0,nonAMP1361
0,nonAMP331
0,nonAMP2172
1,AMP2236
0,nonAMP1299
1,AMP1472
1,AMP883
1,AMP2246
1,AMP2649
1,AMP1745
1,AMP1092
1,AMP340
0,nonAMP1377
0,nonAMP3081
1,AMP2156
1,AMP1114
0,nonAMP1106
1,AMP2749
0,nonAMP2515
0,nonAMP206
1,nonAMP2049
0,nonAMP2376
1,AMP1308
1,AMP3257
0,nonAMP2412
1,AMP1
1,AMP375
0,nonAMP2396
1,AMP938
1,AMP350
1,AMP2067
1,AMP1716
1,AMP1134
1,AMP782
1,AMP1393
1,AMP314
1,AMP1922
1,AMP646
1,AMP909
1,nonAMP1396
1,AMP1474
0,nonAMP2977
0,nonAMP92
0,nonAMP2508
1,AMP417
0,nonAMP113
0,nonAMP253
0,nonAMP1529
1,AMP703
1,AMP400
1,AMP1931
0,nonAMP1148
0,nonAMP2600
0,nonAMP1673
0,nonAMP1425
1,AMP1713
0,nonAMP276
0,nonAMP768
0,nonAMP2642
0,nonAMP1777
1,AMP1423
1,AMP3115
0,nonAMP2957
0,nonAMP2323
1,AMP1431
1,AMP3105
1,AMP1001
0,nonAMP2067
1,AMP2453
0,nonAMP1245
1,AMP2629
0,nonAMP716
0,nonAMP2196
1,AMP1157
1,AMP1415
1,AMP75
1,AMP2702
1,AMP710
0,nonAMP2057
1,AMP413
0,nonAMP2362
0,nonAMP1311
0,nonAMP1759
0,nonAMP2605
0,nonAMP549
0,nonAMP554
0,nonAMP874
0,nonAMP3187
0,nonAMP586
0,nonAMP818
1,AMP1333
0,nonAMP442
1,AMP1714
1,AMP2895
0,nonAMP682
1,AMP640
0,nonAMP551
1,AMP1816
0,nonAMP1733
0,nonAMP3127
0,nonAMP1839
1,AMP2465
0,nonAMP2573
0,nonAMP1584
0,nonAMP2372
0,nonAMP406
1,nonAMP857
1,AMP641
1,AMP1824
0,nonAMP2102
1,AMP2677
1,AMP675
0,nonAMP1658
0,nonAMP796
0,nonAMP144
1,AMP1911
0,AMP2095
0,nonAMP1805
1,AMP3023
1,AMP2342
0,nonAMP1465
1,AMP3056
0,nonAMP183
0,nonAMP2680
0,nonAMP961
0,nonAMP1217
0,nonAMP367
1,AMP1290
0,nonAMP172
0,nonAMP967
1,AMP2023
1,AMP3043
0,nonAMP48
1,AMP1537
1,AMP2354
1,AMP532
0,nonAMP2553
1,AMP394
0,nonAMP3259
0,nonAMP1557
0,nonAMP814
1,nonAMP1253
0,nonAMP2558
0,nonAMP2748
0,nonAMP3109
0,nonAMP1231
0,AMP2146
0,nonAMP2055
1,AMP2457
1,AMP77
0,nonAMP1824
1,AMP1351
0,nonAMP3188
0,nonAMP379
0,nonAMP2762
0,nonAMP2638
0,nonAMP1593
0,nonAMP726
1,AMP2220
0,nonAMP2316
1,AMP517
1,AMP3001
1,AMP1439
1,AMP570
1,AMP2235
0,nonAMP954
1,AMP1076
1,AMP418
0,nonAMP2713
0,nonAMP432
1,nonAMP1757
1,AMP1283
0,nonAMP2148
1,AMP76
0,nonAMP2224
0,nonAMP1205
1,AMP1699
0,nonAMP2561
0,nonAMP11
0,nonAMP799
1,AMP1914
0,nonAMP903
1,AMP2574
1,AMP2610
0,nonAMP2956
0,nonAMP2979
0,nonAMP1347
1,AMP2611
0,nonAMP2118
0,nonAMP374
0,nonAMP489
0,nonAMP1949
0,nonAMP1995
0,nonAMP1800
1,AMP1314
0,nonAMP59
1,AMP843
1,nonAMP2751
1,AMP1781
0,nonAMP3001
0,AMP1583
0,nonAMP2940
0,nonAMP2944
1,AMP2905
1,AMP2553
1,AMP631
0,nonAMP2208
0,nonAMP1643
1,AMP2318
1,AMP423
1,AMP1987
0,nonAMP1166
1,AMP177
1,AMP584
1,AMP1526
1,AMP547
1,AMP1674
1,AMP348
1,AMP963
0,nonAMP2288
0,nonAMP1349
0,nonAMP2853
0,nonAMP3164
1,AMP1848
1,AMP454
1,AMP2044
1,AMP1995
0,nonAMP2872
1,AMP594
1,AMP976
0,nonAMP635
0,nonAMP324
0,nonAMP263
0,nonAMP1343
0,nonAMP972
0,nonAMP2215
0,nonAMP1296
0,nonAMP640
0,nonAMP1843
0,nonAMP2913
0,nonAMP731
0,nonAMP516
0,nonAMP2265
