ID	length	range
nonAMP195	103	101-150
nonAMP196	209	>200
nonAMP197	139	101-150
nonAMP198	128	101-150
nonAMP199	81	51-100
nonAMP200	90	51-100
nonAMP201	146	101-150
nonAMP202	104	101-150
nonAMP203	233	>200
nonAMP204	102	101-150
nonAMP205	98	51-100
nonAMP206	226	>200
nonAMP207	128	101-150
nonAMP208	110	101-150
nonAMP209	229	>200
nonAMP210	239	>200
nonAMP211	126	101-150
nonAMP212	214	>200
nonAMP213	154	151-200
nonAMP214	182	151-200
nonAMP215	148	101-150
nonAMP216	244	>200
nonAMP217	185	151-200
nonAMP218	224	>200
nonAMP219	81	51-100
nonAMP220	204	>200
nonAMP221	223	>200
nonAMP222	97	51-100
nonAMP223	154	151-200
nonAMP224	195	151-200
nonAMP225	187	151-200
nonAMP226	186	151-200
nonAMP227	209	>200
nonAMP228	154	151-200
nonAMP229	101	101-150
nonAMP230	90	51-100
nonAMP231	173	151-200
nonAMP232	125	101-150
nonAMP233	93	51-100
nonAMP234	102	101-150
nonAMP235	117	101-150
nonAMP236	149	101-150
nonAMP237	171	151-200
nonAMP238	188	151-200
nonAMP239	151	151-200
nonAMP240	143	101-150
nonAMP241	52	51-100
nonAMP242	233	>200
nonAMP243	119	101-150
nonAMP244	189	151-200
nonAMP245	152	151-200
nonAMP246	157	151-200
nonAMP247	217	>200
nonAMP248	144	101-150
nonAMP249	150	101-150
nonAMP250	206	>200
nonAMP251	90	51-100
nonAMP252	98	51-100
nonAMP253	233	>200
nonAMP254	96	51-100
nonAMP255	244	>200
nonAMP256	224	>200
nonAMP257	42	0-50
nonAMP258	119	101-150
nonAMP259	222	>200
nonAMP260	125	101-150
nonAMP261	122	101-150
nonAMP262	207	>200
nonAMP263	76	51-100
nonAMP264	196	151-200
nonAMP265	149	101-150
nonAMP266	176	151-200
nonAMP267	148	101-150
nonAMP268	90	51-100
nonAMP269	68	51-100
nonAMP270	255	>200
nonAMP271	110	101-150
nonAMP272	217	>200
nonAMP273	91	51-100
nonAMP274	225	>200
nonAMP275	91	51-100
nonAMP276	129	101-150
nonAMP277	140	101-150
nonAMP278	237	>200
nonAMP279	161	151-200
nonAMP280	38	0-50
nonAMP281	73	51-100
nonAMP282	132	101-150
nonAMP283	253	>200
nonAMP284	107	101-150
nonAMP285	45	0-50
nonAMP286	53	51-100
nonAMP287	166	151-200
nonAMP288	241	>200
nonAMP289	92	51-100
nonAMP290	189	151-200
nonAMP291	178	151-200
nonAMP292	138	101-150
nonAMP293	218	>200
nonAMP294	255	>200
nonAMP295	224	>200
nonAMP296	111	101-150
nonAMP297	155	151-200
nonAMP298	101	101-150
nonAMP299	65	51-100
nonAMP300	210	>200
nonAMP301	74	51-100
nonAMP302	142	101-150
nonAMP303	230	>200
nonAMP304	178	151-200
nonAMP305	193	151-200
nonAMP306	151	151-200
nonAMP307	173	151-200
nonAMP308	87	51-100
nonAMP309	224	>200
nonAMP310	105	101-150
nonAMP311	197	151-200
nonAMP312	193	151-200
nonAMP313	135	101-150
nonAMP314	116	101-150
nonAMP315	196	151-200
nonAMP316	61	51-100
nonAMP317	109	101-150
nonAMP318	246	>200
nonAMP319	151	151-200
nonAMP320	185	151-200
nonAMP321	246	>200
nonAMP322	144	101-150
nonAMP323	132	101-150
nonAMP324	207	>200
nonAMP325	35	0-50
nonAMP326	251	>200
nonAMP327	141	101-150
nonAMP328	114	101-150
nonAMP329	255	>200
nonAMP330	136	101-150
nonAMP331	221	>200
nonAMP332	222	>200
nonAMP333	173	151-200
nonAMP334	140	101-150
nonAMP335	68	51-100
nonAMP336	222	>200
nonAMP337	123	101-150
nonAMP338	232	>200
nonAMP339	242	>200
nonAMP340	78	51-100
nonAMP341	149	101-150
nonAMP342	176	151-200
nonAMP343	121	101-150
nonAMP344	141	101-150
nonAMP345	60	51-100
nonAMP346	151	151-200
nonAMP347	207	>200
nonAMP348	227	>200
nonAMP349	147	101-150
nonAMP350	119	101-150
nonAMP351	96	51-100
nonAMP352	143	101-150
nonAMP353	232	>200
nonAMP354	117	101-150
nonAMP355	224	>200
nonAMP356	190	151-200
nonAMP357	232	>200
nonAMP358	245	>200
nonAMP359	90	51-100
nonAMP360	116	101-150
nonAMP361	77	51-100
nonAMP362	67	51-100
nonAMP363	204	>200
nonAMP364	159	151-200
nonAMP365	249	>200
nonAMP366	159	151-200
nonAMP367	232	>200
nonAMP368	147	101-150
nonAMP369	215	>200
nonAMP370	145	101-150
nonAMP371	216	>200
nonAMP372	158	151-200
nonAMP373	218	>200
nonAMP374	176	151-200
nonAMP375	152	151-200
nonAMP376	224	>200
nonAMP377	103	101-150
nonAMP378	139	101-150
nonAMP379	240	>200
nonAMP380	36	0-50
nonAMP381	223	>200
nonAMP382	128	101-150
nonAMP383	145	101-150
nonAMP384	104	101-150
nonAMP385	135	101-150
nonAMP386	176	151-200
nonAMP387	253	>200
nonAMP388	236	>200
nonAMP389	86	51-100
nonAMP390	98	51-100
nonAMP391	197	151-200
nonAMP392	222	>200
nonAMP393	204	>200
nonAMP394	161	151-200
nonAMP395	121	101-150
nonAMP396	211	>200
nonAMP397	80	51-100
nonAMP398	152	151-200
nonAMP399	109	101-150
nonAMP400	157	151-200
nonAMP401	97	51-100
nonAMP402	109	101-150
nonAMP403	186	151-200
nonAMP404	179	151-200
nonAMP405	177	151-200
nonAMP406	92	51-100
nonAMP407	231	>200
nonAMP408	161	151-200
nonAMP409	216	>200
nonAMP410	199	151-200
nonAMP411	53	51-100
nonAMP412	250	>200
nonAMP413	238	>200
nonAMP414	121	101-150
nonAMP415	125	101-150
nonAMP416	233	>200
nonAMP417	193	151-200
nonAMP418	226	>200
nonAMP419	141	101-150
nonAMP420	118	101-150
nonAMP421	213	>200
nonAMP422	244	>200
nonAMP423	72	51-100
nonAMP424	178	151-200
nonAMP425	136	101-150
nonAMP426	96	51-100
nonAMP427	98	51-100
nonAMP428	181	151-200
nonAMP429	126	101-150
nonAMP430	164	151-200
nonAMP431	243	>200
nonAMP432	56	51-100
nonAMP433	150	101-150
nonAMP434	228	>200
nonAMP435	35	0-50
nonAMP436	226	>200
nonAMP437	135	101-150
nonAMP438	136	101-150
nonAMP439	77	51-100
nonAMP440	106	101-150
nonAMP441	152	151-200
nonAMP442	243	>200
nonAMP443	192	151-200
nonAMP444	207	>200
nonAMP445	124	101-150
nonAMP446	123	101-150
nonAMP447	200	151-200
nonAMP448	244	>200
nonAMP449	101	101-150
nonAMP450	40	0-50
nonAMP451	55	51-100
nonAMP452	86	51-100
nonAMP453	180	151-200
nonAMP454	212	>200
nonAMP455	147	101-150
nonAMP456	210	>200
nonAMP457	88	51-100
nonAMP458	44	0-50
nonAMP459	143	101-150
nonAMP460	209	>200
nonAMP461	207	>200
nonAMP462	90	51-100
nonAMP463	75	51-100
nonAMP464	132	101-150
nonAMP465	167	151-200
nonAMP466	203	>200
nonAMP467	136	101-150
nonAMP468	80	51-100
nonAMP469	209	>200
nonAMP470	159	151-200
nonAMP471	187	151-200
nonAMP472	211	>200
nonAMP473	171	151-200
nonAMP474	229	>200
nonAMP475	71	51-100
nonAMP476	134	101-150
nonAMP477	191	151-200
nonAMP478	156	151-200
nonAMP479	145	101-150
nonAMP480	243	>200
nonAMP481	152	151-200
nonAMP482	157	151-200
nonAMP483	121	101-150
nonAMP484	182	151-200
nonAMP485	135	101-150
nonAMP486	92	51-100
nonAMP487	111	101-150
nonAMP488	103	101-150
nonAMP489	176	151-200
nonAMP490	138	101-150
nonAMP491	168	151-200
nonAMP492	181	151-200
nonAMP493	224	>200
nonAMP494	199	151-200
nonAMP495	102	101-150
nonAMP496	181	151-200
nonAMP497	212	>200
nonAMP498	233	>200
nonAMP499	212	>200
nonAMP500	118	101-150
nonAMP501	129	101-150
nonAMP502	123	101-150
nonAMP503	138	101-150
nonAMP504	154	151-200
nonAMP505	195	151-200
nonAMP506	228	>200
nonAMP507	83	51-100
nonAMP508	216	>200
nonAMP509	121	101-150
nonAMP510	250	>200
nonAMP511	218	>200
nonAMP512	123	101-150
nonAMP513	228	>200
nonAMP514	240	>200
nonAMP515	81	51-100
nonAMP516	116	101-150
nonAMP517	180	151-200
nonAMP518	172	151-200
nonAMP519	160	151-200
nonAMP520	119	101-150
nonAMP521	238	>200
nonAMP522	201	>200
nonAMP523	230	>200
nonAMP524	119	101-150
nonAMP525	139	101-150
nonAMP526	96	51-100
nonAMP527	209	>200
nonAMP528	68	51-100
nonAMP529	88	51-100
nonAMP530	169	151-200
nonAMP531	240	>200
nonAMP532	80	51-100
nonAMP533	144	101-150
nonAMP534	181	151-200
nonAMP535	163	151-200
nonAMP536	62	51-100
nonAMP537	61	51-100
nonAMP538	223	>200
nonAMP539	245	>200
nonAMP540	137	101-150
nonAMP541	162	151-200
nonAMP542	65	51-100
nonAMP543	133	101-150
nonAMP544	64	51-100
nonAMP545	132	101-150
nonAMP546	147	101-150
nonAMP547	198	151-200
nonAMP548	145	101-150
nonAMP549	235	>200
nonAMP550	147	101-150
nonAMP551	219	>200
nonAMP552	235	>200
nonAMP553	175	151-200
nonAMP554	204	>200
nonAMP555	176	151-200
nonAMP556	133	101-150
nonAMP557	20	0-50
nonAMP558	189	151-200
nonAMP559	239	>200
nonAMP560	204	>200
nonAMP561	225	>200
nonAMP562	229	>200
nonAMP563	254	>200
nonAMP564	84	51-100
nonAMP565	156	151-200
nonAMP566	245	>200
nonAMP567	247	>200
nonAMP568	202	>200
nonAMP569	250	>200
nonAMP570	132	101-150
nonAMP571	101	101-150
nonAMP572	172	151-200
nonAMP573	196	151-200
nonAMP574	236	>200
nonAMP575	156	151-200
nonAMP576	113	101-150
nonAMP577	91	51-100
nonAMP578	106	101-150
nonAMP579	247	>200
nonAMP580	179	151-200
nonAMP581	77	51-100
nonAMP582	141	101-150
nonAMP583	65	51-100
nonAMP584	248	>200
nonAMP585	119	101-150
nonAMP586	118	101-150
nonAMP587	159	151-200
nonAMP588	59	51-100
nonAMP589	226	>200
nonAMP590	245	>200
nonAMP591	248	>200
nonAMP592	244	>200
nonAMP593	86	51-100
nonAMP594	247	>200
nonAMP595	202	>200
nonAMP596	215	>200
nonAMP597	167	151-200
nonAMP598	211	>200
nonAMP599	11	0-50
nonAMP600	91	51-100
nonAMP601	158	151-200
nonAMP602	88	51-100
nonAMP603	160	151-200
nonAMP604	98	51-100
nonAMP605	15	0-50
nonAMP606	173	151-200
nonAMP607	82	51-100
nonAMP608	209	>200
nonAMP609	97	51-100
nonAMP610	92	51-100
nonAMP611	17	0-50
nonAMP612	217	>200
nonAMP613	146	101-150
nonAMP614	108	101-150
nonAMP615	94	51-100
nonAMP616	218	>200
nonAMP617	112	101-150
nonAMP618	118	101-150
nonAMP619	186	151-200
nonAMP620	196	151-200
nonAMP621	144	101-150
nonAMP622	132	101-150
nonAMP623	185	151-200
nonAMP624	90	51-100
nonAMP625	84	51-100
nonAMP626	96	51-100
nonAMP627	187	151-200
nonAMP628	113	101-150
nonAMP629	100	51-100
nonAMP630	227	>200
nonAMP631	62	51-100
nonAMP632	244	>200
nonAMP633	189	151-200
nonAMP634	200	151-200
nonAMP635	94	51-100
nonAMP636	48	0-50
nonAMP637	244	>200
nonAMP638	172	151-200
nonAMP639	148	101-150
nonAMP640	129	101-150
nonAMP641	239	>200
nonAMP642	115	101-150
nonAMP643	91	51-100
nonAMP644	160	151-200
nonAMP645	144	101-150
nonAMP646	250	>200
nonAMP647	160	151-200
nonAMP648	143	101-150
nonAMP649	187	151-200
nonAMP650	27	0-50
nonAMP651	212	>200
nonAMP652	149	101-150
nonAMP653	158	151-200
nonAMP654	116	101-150
nonAMP655	209	>200
nonAMP656	150	101-150
nonAMP657	184	151-200
nonAMP658	142	101-150
nonAMP659	156	151-200
nonAMP660	205	>200
nonAMP661	127	101-150
nonAMP662	11	0-50
nonAMP663	239	>200
nonAMP664	66	51-100
nonAMP665	255	>200
nonAMP666	32	0-50
nonAMP667	87	51-100
nonAMP668	189	151-200
nonAMP669	124	101-150
nonAMP670	181	151-200
nonAMP671	125	101-150
nonAMP672	217	>200
nonAMP673	237	>200
nonAMP674	217	>200
nonAMP675	250	>200
nonAMP676	100	51-100
nonAMP677	233	>200
nonAMP678	253	>200
nonAMP679	114	101-150
nonAMP680	226	>200
nonAMP681	176	151-200
nonAMP682	141	101-150
nonAMP683	215	>200
nonAMP684	199	151-200
nonAMP685	207	>200
nonAMP686	246	>200
nonAMP687	134	101-150
nonAMP688	183	151-200
nonAMP689	156	151-200
nonAMP690	72	51-100
nonAMP691	175	151-200
nonAMP692	117	101-150
nonAMP693	178	151-200
nonAMP694	195	151-200
nonAMP695	230	>200
nonAMP696	155	151-200
nonAMP697	251	>200
nonAMP698	81	51-100
nonAMP699	254	>200
nonAMP700	151	151-200
nonAMP701	181	151-200
nonAMP702	185	151-200
nonAMP703	11	0-50
nonAMP704	72	51-100
nonAMP705	212	>200
nonAMP706	180	151-200
nonAMP707	179	151-200
nonAMP708	154	151-200
nonAMP709	171	151-200
nonAMP710	172	151-200
nonAMP711	208	>200
nonAMP712	99	51-100
nonAMP713	195	151-200
nonAMP714	137	101-150
nonAMP715	125	101-150
nonAMP716	209	>200
nonAMP717	101	101-150
nonAMP718	149	101-150
nonAMP719	239	>200
nonAMP720	183	151-200
nonAMP721	233	>200
nonAMP722	119	101-150
nonAMP723	149	101-150
nonAMP724	144	101-150
nonAMP725	176	151-200
nonAMP726	132	101-150
nonAMP727	72	51-100
nonAMP728	131	101-150
nonAMP729	132	101-150
nonAMP730	214	>200
nonAMP731	202	>200
nonAMP732	101	101-150
nonAMP733	163	151-200
nonAMP734	119	101-150
nonAMP735	156	151-200
nonAMP736	223	>200
nonAMP737	242	>200
nonAMP738	37	0-50
nonAMP739	176	151-200
nonAMP740	80	51-100
nonAMP741	192	151-200
nonAMP742	248	>200
nonAMP743	55	51-100
nonAMP744	127	101-150
nonAMP745	90	51-100
nonAMP746	101	101-150
nonAMP747	245	>200
nonAMP748	242	>200
nonAMP749	20	0-50
nonAMP750	9	0-50
nonAMP751	24	0-50
nonAMP752	72	51-100
nonAMP753	124	101-150
nonAMP754	134	101-150
nonAMP755	172	151-200
nonAMP756	205	>200
nonAMP757	207	>200
nonAMP758	228	>200
nonAMP759	104	101-150
nonAMP760	169	151-200
nonAMP761	80	51-100
nonAMP762	194	151-200
nonAMP763	148	101-150
nonAMP764	177	151-200
nonAMP765	173	151-200
nonAMP766	211	>200
nonAMP767	198	151-200
nonAMP768	194	151-200
nonAMP769	186	151-200
nonAMP770	210	>200
nonAMP771	98	51-100
nonAMP772	212	>200
nonAMP773	235	>200
nonAMP774	92	51-100
nonAMP775	133	101-150
nonAMP776	254	>200
nonAMP777	209	>200
nonAMP778	205	>200
nonAMP779	205	>200
nonAMP780	194	151-200
nonAMP781	175	151-200
nonAMP782	151	151-200
nonAMP783	202	>200
nonAMP784	237	>200
nonAMP785	134	101-150
nonAMP786	136	101-150
nonAMP787	92	51-100
nonAMP788	52	51-100
nonAMP789	205	>200
nonAMP790	202	>200
nonAMP791	217	>200
nonAMP792	213	>200
nonAMP793	178	151-200
nonAMP794	117	101-150
nonAMP795	214	>200
nonAMP796	176	151-200
nonAMP797	178	151-200
nonAMP798	204	>200
nonAMP799	248	>200
nonAMP800	122	101-150
nonAMP801	241	>200
nonAMP802	252	>200
nonAMP803	197	151-200
nonAMP804	160	151-200
nonAMP805	166	151-200
nonAMP806	113	101-150
nonAMP807	253	>200
nonAMP808	34	0-50
nonAMP809	73	51-100
nonAMP810	118	101-150
nonAMP811	31	0-50
nonAMP812	230	>200
nonAMP813	202	>200
nonAMP814	95	51-100
nonAMP815	229	>200
nonAMP816	103	101-150
nonAMP817	217	>200
nonAMP818	142	101-150
nonAMP819	231	>200
nonAMP820	189	151-200
nonAMP821	154	151-200
nonAMP822	82	51-100
nonAMP823	224	>200
nonAMP824	255	>200
nonAMP825	96	51-100
nonAMP826	218	>200
nonAMP827	149	101-150
nonAMP828	122	101-150
nonAMP829	175	151-200
nonAMP830	247	>200
nonAMP831	237	>200
nonAMP832	188	151-200
nonAMP833	90	51-100
nonAMP834	182	151-200
nonAMP835	47	0-50
nonAMP836	116	101-150
nonAMP837	227	>200
nonAMP838	169	151-200
nonAMP839	196	151-200
nonAMP840	188	151-200
nonAMP841	229	>200
nonAMP842	171	151-200
nonAMP843	110	101-150
nonAMP844	215	>200
nonAMP845	172	151-200
nonAMP846	171	151-200
nonAMP847	234	>200
nonAMP848	148	101-150
nonAMP849	156	151-200
nonAMP850	227	>200
nonAMP851	214	>200
nonAMP852	236	>200
nonAMP853	158	151-200
nonAMP854	127	101-150
nonAMP855	228	>200
nonAMP856	113	101-150
nonAMP857	23	0-50
nonAMP858	118	101-150
nonAMP859	147	101-150
nonAMP860	249	>200
nonAMP861	151	151-200
nonAMP862	91	51-100
nonAMP863	206	>200
nonAMP864	110	101-150
nonAMP865	246	>200
nonAMP866	48	0-50
nonAMP867	177	151-200
nonAMP868	231	>200
nonAMP869	244	>200
nonAMP870	120	101-150
nonAMP871	216	>200
nonAMP872	161	151-200
nonAMP873	89	51-100
nonAMP874	154	151-200
nonAMP875	159	151-200
nonAMP876	98	51-100
nonAMP877	108	101-150
nonAMP878	84	51-100
nonAMP879	252	>200
nonAMP880	244	>200
nonAMP881	174	151-200
nonAMP882	112	101-150
nonAMP883	140	101-150
nonAMP884	211	>200
nonAMP885	253	>200
nonAMP886	242	>200
nonAMP887	9	0-50
nonAMP888	251	>200
nonAMP889	184	151-200
nonAMP890	254	>200
nonAMP891	209	>200
nonAMP892	134	101-150
nonAMP893	195	151-200
nonAMP894	63	51-100
nonAMP895	44	0-50
nonAMP896	147	101-150
nonAMP897	205	>200
nonAMP898	88	51-100
nonAMP899	247	>200
nonAMP900	246	>200
nonAMP901	236	>200
nonAMP902	163	151-200
nonAMP903	211	>200
nonAMP904	99	51-100
nonAMP905	165	151-200
nonAMP906	151	151-200
nonAMP907	86	51-100
nonAMP908	207	>200
nonAMP909	177	151-200
nonAMP910	211	>200
nonAMP911	170	151-200
nonAMP912	173	151-200
nonAMP913	175	151-200
nonAMP914	155	151-200
nonAMP915	176	151-200
nonAMP916	150	101-150
nonAMP917	208	>200
nonAMP918	74	51-100
nonAMP919	152	151-200
nonAMP920	81	51-100
nonAMP921	90	51-100
nonAMP922	228	>200
nonAMP923	210	>200
nonAMP924	73	51-100
nonAMP925	79	51-100
nonAMP926	110	101-150
nonAMP927	212	>200
nonAMP928	153	151-200
nonAMP929	107	101-150
nonAMP930	192	151-200
nonAMP931	96	51-100
nonAMP932	214	>200
nonAMP933	130	101-150
nonAMP934	122	101-150
nonAMP935	154	151-200
nonAMP936	125	101-150
nonAMP937	98	51-100
nonAMP938	46	0-50
nonAMP939	120	101-150
nonAMP940	124	101-150
nonAMP941	155	151-200
nonAMP942	174	151-200
nonAMP943	82	51-100
nonAMP944	147	101-150
nonAMP945	151	151-200
nonAMP946	129	101-150
nonAMP947	116	101-150
nonAMP948	142	101-150
nonAMP949	192	151-200
nonAMP950	183	151-200
nonAMP951	182	151-200
nonAMP952	177	151-200
nonAMP953	197	151-200
nonAMP954	135	101-150
nonAMP955	190	151-200
nonAMP956	127	101-150
nonAMP957	157	151-200
nonAMP958	184	151-200
nonAMP959	54	51-100
nonAMP960	36	0-50
nonAMP961	242	>200
nonAMP962	158	151-200
nonAMP963	188	151-200
nonAMP964	33	0-50
nonAMP965	69	51-100
nonAMP966	115	101-150
nonAMP967	162	151-200
nonAMP968	177	151-200
nonAMP969	175	151-200
nonAMP970	160	151-200
nonAMP971	143	101-150
nonAMP972	109	101-150
nonAMP973	142	101-150
nonAMP974	64	51-100
nonAMP975	127	101-150
nonAMP976	236	>200
nonAMP977	130	101-150
nonAMP978	171	151-200
nonAMP979	78	51-100
nonAMP980	191	151-200
nonAMP981	188	151-200
nonAMP982	176	151-200
nonAMP983	95	51-100
nonAMP984	148	101-150
nonAMP985	38	0-50
nonAMP986	132	101-150
nonAMP987	170	151-200
nonAMP988	164	151-200
nonAMP989	245	>200
nonAMP990	67	51-100
nonAMP991	109	101-150
nonAMP992	97	51-100
nonAMP993	166	151-200
nonAMP994	146	101-150
nonAMP995	148	101-150
nonAMP996	253	>200
nonAMP997	213	>200
nonAMP998	218	>200
nonAMP999	142	101-150
nonAMP1000	249	>200
nonAMP1001	139	101-150
nonAMP1002	187	151-200
nonAMP1003	198	151-200
nonAMP1004	160	151-200
nonAMP1005	214	>200
nonAMP1006	226	>200
nonAMP1007	158	151-200
nonAMP1008	208	>200
nonAMP1009	174	151-200
nonAMP1010	37	0-50
nonAMP1011	220	>200
nonAMP1012	141	101-150
nonAMP1013	220	>200
nonAMP1014	206	>200
nonAMP1015	151	151-200
nonAMP1016	222	>200
nonAMP1017	255	>200
nonAMP1018	94	51-100
nonAMP1019	245	>200
nonAMP1020	205	>200
nonAMP1021	117	101-150
nonAMP1022	141	101-150
nonAMP1023	62	51-100
nonAMP1024	11	0-50
nonAMP1025	244	>200
nonAMP1026	141	101-150
nonAMP1027	94	51-100
nonAMP1028	187	151-200
nonAMP1029	37	0-50
nonAMP1030	241	>200
nonAMP1031	198	151-200
nonAMP1032	108	101-150
nonAMP1033	255	>200
nonAMP1034	128	101-150
nonAMP1035	136	101-150
nonAMP1036	239	>200
nonAMP1037	131	101-150
nonAMP1038	182	151-200
nonAMP1039	188	151-200
nonAMP1040	82	51-100
nonAMP1041	117	101-150
nonAMP1042	207	>200
nonAMP1043	131	101-150
nonAMP1044	97	51-100
nonAMP1045	76	51-100
nonAMP1046	63	51-100
nonAMP1047	151	151-200
nonAMP1048	119	101-150
nonAMP1049	89	51-100
nonAMP1050	37	0-50
nonAMP1051	210	>200
nonAMP1052	67	51-100
nonAMP1053	148	101-150
nonAMP1054	138	101-150
nonAMP1055	216	>200
nonAMP1056	166	151-200
nonAMP1057	178	151-200
nonAMP1058	175	151-200
nonAMP1059	155	151-200
nonAMP1060	137	101-150
nonAMP1061	92	51-100
nonAMP1062	120	101-150
nonAMP1063	195	151-200
nonAMP1064	204	>200
nonAMP1065	86	51-100
nonAMP1066	231	>200
nonAMP1067	37	0-50
nonAMP1068	227	>200
nonAMP1069	214	>200
nonAMP1070	190	151-200
nonAMP1071	224	>200
nonAMP1072	158	151-200
nonAMP1073	71	51-100
nonAMP1074	240	>200
nonAMP1075	162	151-200
nonAMP1076	218	>200
nonAMP1077	61	51-100
nonAMP1078	138	101-150
nonAMP1079	92	51-100
nonAMP1080	62	51-100
nonAMP1081	122	101-150
nonAMP1082	217	>200
nonAMP1083	202	>200
nonAMP1084	108	101-150
nonAMP1085	21	0-50
nonAMP1086	214	>200
nonAMP1087	144	101-150
nonAMP1088	139	101-150
nonAMP1089	82	51-100
nonAMP1090	159	151-200
nonAMP1091	169	151-200
nonAMP1092	112	101-150
