ID	length	range
nonAMP56089	48	0-50
nonAMP157865	17	0-50
nonAMP17448	30	0-50
nonAMP151145	10	0-50
nonAMP107467	44	0-50
nonAMP53039	37	0-50
nonAMP81008	47	0-50
nonAMP49332	8	0-50
nonAMP103056	18	0-50
nonAMP109864	36	0-50
nonAMP125014	50	0-50
nonAMP162009	36	0-50
nonAMP158468	47	0-50
nonAMP141471	11	0-50
nonAMP166736	43	0-50
nonAMP158670	41	0-50
nonAMP18942	38	0-50
nonAMP95084	19	0-50
nonAMP83122	27	0-50
nonAMP125200	49	0-50
nonAMP142277	30	0-50
nonAMP57662	40	0-50
nonAMP58193	27	0-50
nonAMP39638	37	0-50
nonAMP106061	24	0-50
nonAMP128289	11	0-50
nonAMP138849	11	0-50
nonAMP45802	49	0-50
nonAMP79762	25	0-50
nonAMP30087	37	0-50
nonAMP39692	9	0-50
nonAMP60203	15	0-50
nonAMP96651	24	0-50
nonAMP120393	47	0-50
nonAMP153620	43	0-50
nonAMP41852	40	0-50
nonAMP69318	28	0-50
nonAMP662	11	0-50
nonAMP108800	36	0-50
nonAMP79790	9	0-50
nonAMP163061	10	0-50
nonAMP63745	21	0-50
nonAMP103770	24	0-50
nonAMP98415	36	0-50
nonAMP10870	11	0-50
nonAMP36390	35	0-50
nonAMP78103	9	0-50
nonAMP68692	37	0-50
nonAMP35485	33	0-50
nonAMP40685	44	0-50
nonAMP19577	47	0-50
nonAMP51876	26	0-50
nonAMP166117	15	0-50
nonAMP144778	25	0-50
nonAMP45801	24	0-50
nonAMP120341	40	0-50
nonAMP158703	49	0-50
nonAMP7703	37	0-50
nonAMP41847	35	0-50
nonAMP64591	44	0-50
nonAMP161556	49	0-50
nonAMP43140	19	0-50
nonAMP40578	26	0-50
nonAMP160509	16	0-50
nonAMP32763	10	0-50
nonAMP38730	12	0-50
nonAMP55028	37	0-50
nonAMP81471	50	0-50
nonAMP72840	40	0-50
nonAMP18514	38	0-50
nonAMP156645	22	0-50
nonAMP75411	37	0-50
nonAMP88520	20	0-50
nonAMP80574	27	0-50
nonAMP81846	44	0-50
nonAMP105958	44	0-50
nonAMP155000	13	0-50
nonAMP70192	47	0-50
nonAMP159613	37	0-50
nonAMP36269	31	0-50
nonAMP72347	11	0-50
nonAMP100312	31	0-50
nonAMP68482	12	0-50
nonAMP65446	30	0-50
nonAMP158397	39	0-50
nonAMP152262	44	0-50
nonAMP51214	37	0-50
nonAMP22094	38	0-50
nonAMP135636	23	0-50
nonAMP5073	37	0-50
nonAMP64201	28	0-50
nonAMP88131	34	0-50
nonAMP12511	18	0-50
nonAMP90486	48	0-50
nonAMP29501	43	0-50
nonAMP158629	49	0-50
nonAMP95969	46	0-50
nonAMP42386	28	0-50
nonAMP74668	24	0-50
nonAMP127218	31	0-50
nonAMP10079	20	0-50
nonAMP68656	36	0-50
nonAMP120346	8	0-50
nonAMP77161	17	0-50
nonAMP60956	38	0-50
nonAMP74784	15	0-50
nonAMP48980	47	0-50
nonAMP105346	44	0-50
nonAMP90651	40	0-50
nonAMP149432	14	0-50
nonAMP54555	39	0-50
nonAMP61269	35	0-50
nonAMP92937	39	0-50
nonAMP143401	8	0-50
nonAMP70825	31	0-50
nonAMP99441	31	0-50
nonAMP75771	38	0-50
nonAMP68329	29	0-50
nonAMP93142	15	0-50
nonAMP84251	8	0-50
nonAMP30076	20	0-50
nonAMP1351	46	0-50
nonAMP139566	37	0-50
nonAMP148150	41	0-50
nonAMP142225	25	0-50
nonAMP109396	30	0-50
nonAMP12751	28	0-50
nonAMP29909	8	0-50
nonAMP129011	40	0-50
nonAMP43137	43	0-50
nonAMP22359	49	0-50
nonAMP126095	31	0-50
nonAMP99167	22	0-50
nonAMP46987	24	0-50
nonAMP102051	20	0-50
nonAMP166509	22	0-50
nonAMP88976	49	0-50
nonAMP49794	37	0-50
nonAMP81210	38	0-50
nonAMP125388	17	0-50
nonAMP40236	32	0-50
nonAMP121133	37	0-50
nonAMP136625	28	0-50
nonAMP146831	14	0-50
nonAMP113315	31	0-50
nonAMP92812	6	0-50
nonAMP36379	10	0-50
nonAMP26011	37	0-50
nonAMP27770	42	0-50
nonAMP126659	43	0-50
nonAMP78822	49	0-50
nonAMP8817	30	0-50
nonAMP114258	9	0-50
nonAMP132516	38	0-50
nonAMP124863	15	0-50
nonAMP103604	50	0-50
nonAMP84459	24	0-50
nonAMP51266	39	0-50
nonAMP14494	22	0-50
nonAMP80728	29	0-50
nonAMP145586	30	0-50
nonAMP106130	26	0-50
nonAMP142376	12	0-50
nonAMP47560	36	0-50
nonAMP102709	39	0-50
nonAMP72501	17	0-50
nonAMP31174	17	0-50
nonAMP17865	34	0-50
nonAMP35531	14	0-50
nonAMP87022	18	0-50
nonAMP147537	49	0-50
nonAMP43325	7	0-50
nonAMP115632	33	0-50
nonAMP66967	10	0-50
nonAMP51856	35	0-50
nonAMP81814	7	0-50
nonAMP7491	16	0-50
nonAMP23994	44	0-50
nonAMP14650	43	0-50
nonAMP109454	31	0-50
nonAMP93995	39	0-50
nonAMP78152	45	0-50
nonAMP137008	44	0-50
nonAMP117363	10	0-50
nonAMP84975	36	0-50
nonAMP89255	46	0-50
nonAMP134326	35	0-50
nonAMP30999	9	0-50
nonAMP64850	12	0-50
nonAMP111961	49	0-50
nonAMP25525	40	0-50
nonAMP49543	6	0-50
nonAMP75444	12	0-50
nonAMP120142	27	0-50
nonAMP11234	13	0-50
nonAMP5753	37	0-50
nonAMP125586	9	0-50
nonAMP10069	7	0-50
nonAMP30040	34	0-50
nonAMP158427	22	0-50
nonAMP97772	39	0-50
nonAMP112489	49	0-50
nonAMP87143	34	0-50
nonAMP127103	20	0-50
nonAMP79698	49	0-50
nonAMP84691	35	0-50
nonAMP127092	46	0-50
nonAMP74505	19	0-50
nonAMP37479	31	0-50
nonAMP164070	29	0-50
nonAMP96153	41	0-50
nonAMP153494	37	0-50
nonAMP137747	12	0-50
nonAMP69127	15	0-50
nonAMP79034	38	0-50
nonAMP97887	17	0-50
nonAMP56372	36	0-50
nonAMP90460	9	0-50
nonAMP60060	9	0-50
nonAMP59211	49	0-50
nonAMP31829	19	0-50
nonAMP8426	27	0-50
nonAMP96204	13	0-50
nonAMP63134	29	0-50
nonAMP61520	10	0-50
nonAMP47517	39	0-50
nonAMP18299	43	0-50
nonAMP8569	20	0-50
nonAMP113219	35	0-50
nonAMP148929	19	0-50
nonAMP61951	37	0-50
nonAMP92409	31	0-50
nonAMP107776	7	0-50
nonAMP24350	29	0-50
nonAMP54681	37	0-50
nonAMP3252	39	0-50
nonAMP90642	37	0-50
nonAMP144687	41	0-50
nonAMP133254	16	0-50
nonAMP113471	41	0-50
nonAMP611	17	0-50
nonAMP30632	38	0-50
nonAMP161247	21	0-50
nonAMP11646	13	0-50
nonAMP157012	7	0-50
nonAMP114750	10	0-50
nonAMP98182	35	0-50
nonAMP148635	34	0-50
nonAMP750	9	0-50
nonAMP7704	36	0-50
nonAMP122629	37	0-50
nonAMP89588	19	0-50
nonAMP137785	38	0-50
nonAMP118709	20	0-50
nonAMP81457	32	0-50
nonAMP21051	11	0-50
nonAMP99714	14	0-50
nonAMP49273	5	0-50
nonAMP113399	29	0-50
nonAMP117079	50	0-50
nonAMP92879	37	0-50
nonAMP31720	29	0-50
nonAMP100732	32	0-50
nonAMP107398	44	0-50
nonAMP51953	24	0-50
nonAMP62587	13	0-50
nonAMP131654	35	0-50
nonAMP102812	38	0-50
nonAMP53087	39	0-50
nonAMP35267	8	0-50
nonAMP122225	23	0-50
nonAMP65911	9	0-50
nonAMP135157	37	0-50
nonAMP163386	22	0-50
nonAMP150153	21	0-50
nonAMP79774	18	0-50
nonAMP14808	34	0-50
nonAMP158319	20	0-50
nonAMP74411	37	0-50
nonAMP1638	49	0-50
nonAMP30515	43	0-50
nonAMP10867	37	0-50
nonAMP103766	30	0-50
nonAMP87058	25	0-50
nonAMP86335	48	0-50
nonAMP88677	43	0-50
nonAMP46533	25	0-50
nonAMP12733	38	0-50
nonAMP111387	13	0-50
nonAMP36698	11	0-50
nonAMP97606	37	0-50
nonAMP31090	15	0-50
nonAMP8729	38	0-50
nonAMP9658	10	0-50
nonAMP19825	41	0-50
nonAMP79881	33	0-50
nonAMP161118	14	0-50
nonAMP73622	23	0-50
nonAMP109794	45	0-50
nonAMP91647	43	0-50
nonAMP36171	40	0-50
nonAMP107103	40	0-50
nonAMP39715	39	0-50
nonAMP96842	44	0-50
nonAMP15179	45	0-50
nonAMP29950	16	0-50
nonAMP50950	36	0-50
nonAMP60294	14	0-50
nonAMP24420	13	0-50
nonAMP110672	10	0-50
nonAMP90058	38	0-50
nonAMP97197	29	0-50
nonAMP140646	33	0-50
nonAMP40291	8	0-50
nonAMP37346	15	0-50
nonAMP131162	45	0-50
nonAMP110659	49	0-50
nonAMP93880	39	0-50
nonAMP153023	9	0-50
nonAMP92753	38	0-50
nonAMP14256	46	0-50
nonAMP102870	36	0-50
nonAMP121831	24	0-50
nonAMP44300	14	0-50
nonAMP82550	19	0-50
nonAMP127856	44	0-50
nonAMP6605	11	0-50
nonAMP41520	15	0-50
nonAMP71826	42	0-50
nonAMP161189	49	0-50
nonAMP48904	12	0-50
nonAMP98819	6	0-50
nonAMP122004	35	0-50
nonAMP94361	20	0-50
nonAMP57624	33	0-50
nonAMP75399	20	0-50
nonAMP143136	41	0-50
nonAMP60858	36	0-50
nonAMP153469	43	0-50
nonAMP18968	28	0-50
nonAMP108925	42	0-50
nonAMP22596	17	0-50
nonAMP75751	17	0-50
nonAMP4351	9	0-50
nonAMP113627	50	0-50
nonAMP94284	36	0-50
nonAMP71337	28	0-50
nonAMP27469	9	0-50
nonAMP139781	31	0-50
nonAMP14814	47	0-50
nonAMP65297	21	0-50
nonAMP96182	44	0-50
nonAMP102929	50	0-50
nonAMP96685	9	0-50
nonAMP64861	39	0-50
nonAMP39943	48	0-50
nonAMP17243	49	0-50
nonAMP122661	29	0-50
nonAMP87400	31	0-50
nonAMP162813	34	0-50
nonAMP161319	44	0-50
nonAMP17480	35	0-50
nonAMP160725	16	0-50
nonAMP68972	37	0-50
nonAMP121383	20	0-50
nonAMP151056	23	0-50
nonAMP124428	6	0-50
nonAMP128276	15	0-50
nonAMP153929	25	0-50
nonAMP4256	15	0-50
nonAMP12856	44	0-50
nonAMP52663	44	0-50
nonAMP83918	14	0-50
nonAMP92141	32	0-50
nonAMP59968	44	0-50
nonAMP120767	15	0-50
nonAMP159992	31	0-50
nonAMP120187	48	0-50
nonAMP137441	32	0-50
nonAMP131631	13	0-50
nonAMP149207	14	0-50
nonAMP104424	20	0-50
nonAMP152103	46	0-50
nonAMP41819	41	0-50
nonAMP119934	36	0-50
nonAMP15564	10	0-50
nonAMP15980	44	0-50
nonAMP130993	45	0-50
nonAMP39557	37	0-50
nonAMP137345	25	0-50
nonAMP48292	43	0-50
nonAMP49898	48	0-50
nonAMP67638	44	0-50
nonAMP32288	38	0-50
nonAMP46203	49	0-50
nonAMP30674	19	0-50
nonAMP149496	33	0-50
nonAMP124122	21	0-50
nonAMP98111	31	0-50
nonAMP120829	20	0-50
nonAMP94828	14	0-50
nonAMP91314	24	0-50
nonAMP126177	20	0-50
nonAMP126742	12	0-50
nonAMP152706	13	0-50
nonAMP64113	15	0-50
nonAMP135996	36	0-50
nonAMP40344	32	0-50
nonAMP99947	25	0-50
nonAMP79563	10	0-50
nonAMP1396	19	0-50
nonAMP67007	18	0-50
nonAMP26201	48	0-50
nonAMP143740	10	0-50
nonAMP133219	35	0-50
nonAMP102925	37	0-50
nonAMP92011	43	0-50
nonAMP94427	49	0-50
nonAMP64580	34	0-50
nonAMP7432	44	0-50
nonAMP32041	36	0-50
nonAMP58912	46	0-50
nonAMP97667	44	0-50
nonAMP94748	7	0-50
nonAMP10298	50	0-50
nonAMP66233	31	0-50
nonAMP155073	49	0-50
nonAMP10620	35	0-50
nonAMP77152	10	0-50
nonAMP88804	14	0-50
nonAMP86715	10	0-50
nonAMP76244	46	0-50
nonAMP56183	45	0-50
nonAMP11504	38	0-50
nonAMP31710	45	0-50
nonAMP128600	16	0-50
nonAMP122863	14	0-50
nonAMP59012	40	0-50
nonAMP89910	37	0-50
nonAMP124967	41	0-50
nonAMP78244	12	0-50
nonAMP110675	45	0-50
nonAMP144035	38	0-50
nonAMP72273	18	0-50
nonAMP138541	16	0-50
nonAMP8392	21	0-50
nonAMP148877	31	0-50
nonAMP81661	29	0-50
nonAMP12917	21	0-50
nonAMP155732	5	0-50
nonAMP4774	23	0-50
nonAMP18862	11	0-50
nonAMP139467	48	0-50
nonAMP4935	38	0-50
nonAMP105967	26	0-50
nonAMP139661	9	0-50
nonAMP105550	18	0-50
nonAMP114315	10	0-50
nonAMP157197	11	0-50
nonAMP29494	15	0-50
nonAMP3133	25	0-50
nonAMP40597	35	0-50
nonAMP17711	48	0-50
nonAMP109489	32	0-50
nonAMP49466	36	0-50
nonAMP79209	44	0-50
nonAMP155398	39	0-50
nonAMP118024	38	0-50
nonAMP46158	34	0-50
nonAMP9210	29	0-50
nonAMP40028	23	0-50
nonAMP112785	46	0-50
nonAMP148234	13	0-50
nonAMP105021	36	0-50
nonAMP92920	14	0-50
nonAMP79811	37	0-50
nonAMP103508	30	0-50
nonAMP36107	11	0-50
nonAMP165647	37	0-50
nonAMP46576	47	0-50
nonAMP144724	20	0-50
nonAMP86262	33	0-50
nonAMP29161	22	0-50
nonAMP85555	18	0-50
nonAMP143840	45	0-50
nonAMP126683	27	0-50
nonAMP158429	48	0-50
nonAMP17508	41	0-50
nonAMP39978	33	0-50
nonAMP131617	50	0-50
nonAMP87347	8	0-50
nonAMP91196	43	0-50
nonAMP67785	12	0-50
nonAMP27531	46	0-50
nonAMP93505	40	0-50
nonAMP63241	38	0-50
nonAMP149333	43	0-50
nonAMP81595	10	0-50
nonAMP46767	12	0-50
nonAMP42196	16	0-50
nonAMP116499	6	0-50
nonAMP3825	34	0-50
nonAMP104799	35	0-50
nonAMP108043	20	0-50
nonAMP81761	34	0-50
nonAMP61119	11	0-50
nonAMP15026	39	0-50
nonAMP107065	24	0-50
nonAMP3728	8	0-50
nonAMP115665	34	0-50
nonAMP72912	27	0-50
nonAMP155150	33	0-50
nonAMP63075	43	0-50
nonAMP157236	46	0-50
nonAMP61501	20	0-50
nonAMP77656	41	0-50
nonAMP14769	44	0-50
nonAMP31129	44	0-50
nonAMP47470	49	0-50
nonAMP109151	45	0-50
nonAMP54344	45	0-50
nonAMP42111	29	0-50
nonAMP808	34	0-50
nonAMP68908	36	0-50
nonAMP81639	47	0-50
nonAMP61219	50	0-50
nonAMP105326	41	0-50
nonAMP14137	20	0-50
nonAMP17653	15	0-50
nonAMP41237	21	0-50
nonAMP17283	49	0-50
nonAMP133591	12	0-50
nonAMP142426	44	0-50
nonAMP89614	37	0-50
nonAMP47222	38	0-50
nonAMP77068	48	0-50
nonAMP164295	7	0-50
nonAMP118385	9	0-50
nonAMP45104	21	0-50
nonAMP124476	27	0-50
nonAMP124987	22	0-50
nonAMP75018	41	0-50
nonAMP90837	33	0-50
nonAMP15449	34	0-50
nonAMP85800	8	0-50
nonAMP111742	27	0-50
nonAMP161468	25	0-50
nonAMP64801	40	0-50
nonAMP119225	33	0-50
nonAMP135156	14	0-50
nonAMP63276	33	0-50
nonAMP28947	24	0-50
nonAMP72752	44	0-50
nonAMP100704	17	0-50
nonAMP88237	44	0-50
nonAMP74272	10	0-50
nonAMP73470	48	0-50
nonAMP101315	24	0-50
nonAMP142487	33	0-50
nonAMP138417	36	0-50
nonAMP36275	8	0-50
nonAMP115280	37	0-50
nonAMP66500	13	0-50
nonAMP29948	26	0-50
nonAMP126112	26	0-50
nonAMP47593	33	0-50
nonAMP102484	37	0-50
nonAMP96149	37	0-50
nonAMP100936	9	0-50
nonAMP14351	31	0-50
nonAMP102188	44	0-50
nonAMP98909	11	0-50
nonAMP138861	37	0-50
nonAMP104284	19	0-50
nonAMP26854	43	0-50
nonAMP19267	11	0-50
nonAMP25532	34	0-50
nonAMP100986	29	0-50
nonAMP14226	28	0-50
nonAMP127857	36	0-50
nonAMP75820	30	0-50
nonAMP130230	23	0-50
nonAMP13227	18	0-50
nonAMP72759	15	0-50
nonAMP160623	42	0-50
nonAMP137889	10	0-50
nonAMP160635	10	0-50
nonAMP96301	37	0-50
nonAMP17219	9	0-50
nonAMP128843	20	0-50
nonAMP5645	39	0-50
nonAMP91120	17	0-50
nonAMP132504	12	0-50
nonAMP8111	44	0-50
nonAMP141268	29	0-50
nonAMP146218	30	0-50
nonAMP38629	32	0-50
nonAMP69747	10	0-50
nonAMP120518	47	0-50
nonAMP77131	19	0-50
nonAMP48159	37	0-50
nonAMP141126	35	0-50
nonAMP101575	38	0-50
nonAMP131794	17	0-50
nonAMP84688	46	0-50
nonAMP34811	21	0-50
nonAMP159950	49	0-50
nonAMP103831	17	0-50
nonAMP73047	32	0-50
nonAMP7648	41	0-50
nonAMP811	31	0-50
nonAMP15462	11	0-50
nonAMP92150	42	0-50
nonAMP4381	25	0-50
nonAMP58342	41	0-50
nonAMP25487	48	0-50
nonAMP1128	49	0-50
nonAMP29066	41	0-50
nonAMP97397	44	0-50
nonAMP163533	37	0-50
nonAMP90573	20	0-50
nonAMP97737	39	0-50
nonAMP21606	36	0-50
nonAMP68933	31	0-50
nonAMP119350	44	0-50
nonAMP5335	37	0-50
nonAMP1506	37	0-50
nonAMP134604	38	0-50
nonAMP65434	9	0-50
nonAMP49980	41	0-50
nonAMP89075	35	0-50
nonAMP54000	15	0-50
nonAMP95775	35	0-50
nonAMP37363	38	0-50
nonAMP136453	16	0-50
nonAMP123964	37	0-50
nonAMP113755	9	0-50
nonAMP91392	40	0-50
nonAMP81899	47	0-50
nonAMP1102	35	0-50
nonAMP137554	49	0-50
nonAMP91325	17	0-50
nonAMP55756	38	0-50
nonAMP111660	11	0-50
nonAMP98698	20	0-50
nonAMP122011	45	0-50
nonAMP129523	11	0-50
nonAMP127939	47	0-50
nonAMP82929	19	0-50
nonAMP151530	11	0-50
nonAMP123046	17	0-50
nonAMP67186	25	0-50
nonAMP126405	20	0-50
nonAMP49117	46	0-50
nonAMP79973	17	0-50
nonAMP46858	33	0-50
nonAMP69242	37	0-50
nonAMP26331	19	0-50
nonAMP68188	9	0-50
nonAMP68519	26	0-50
nonAMP100138	33	0-50
nonAMP81700	30	0-50
nonAMP44582	41	0-50
nonAMP13228	40	0-50
nonAMP94318	8	0-50
nonAMP1964	11	0-50
nonAMP82144	37	0-50
nonAMP110908	23	0-50
nonAMP82596	31	0-50
nonAMP162743	32	0-50
nonAMP81912	28	0-50
nonAMP95498	37	0-50
nonAMP131973	25	0-50
nonAMP56556	43	0-50
nonAMP113715	10	0-50
nonAMP39043	37	0-50
nonAMP146899	46	0-50
nonAMP158226	50	0-50
nonAMP142765	37	0-50
nonAMP125794	16	0-50
nonAMP35403	30	0-50
nonAMP165733	22	0-50
nonAMP133695	30	0-50
nonAMP80581	13	0-50
nonAMP51216	10	0-50
nonAMP42660	45	0-50
nonAMP58331	19	0-50
nonAMP33210	46	0-50
nonAMP39983	37	0-50
nonAMP105575	10	0-50
nonAMP84523	31	0-50
nonAMP156528	49	0-50
nonAMP154615	13	0-50
nonAMP37449	41	0-50
nonAMP128339	36	0-50
nonAMP109198	46	0-50
nonAMP99022	12	0-50
nonAMP17555	49	0-50
nonAMP7073	36	0-50
nonAMP23522	31	0-50
nonAMP30280	12	0-50
nonAMP23985	44	0-50
nonAMP57105	37	0-50
nonAMP3580	22	0-50
nonAMP15216	28	0-50
nonAMP52285	22	0-50
nonAMP46124	15	0-50
nonAMP122929	39	0-50
nonAMP147484	25	0-50
nonAMP125490	10	0-50
nonAMP143420	29	0-50
nonAMP128081	44	0-50
nonAMP131052	19	0-50
nonAMP37359	24	0-50
nonAMP154608	33	0-50
nonAMP14554	37	0-50
nonAMP29669	10	0-50
nonAMP25572	31	0-50
nonAMP159250	24	0-50
nonAMP15048	40	0-50
nonAMP70593	47	0-50
nonAMP97755	30	0-50
nonAMP79110	44	0-50
nonAMP51891	37	0-50
nonAMP139323	6	0-50
nonAMP122276	33	0-50
nonAMP31181	20	0-50
nonAMP100172	11	0-50
nonAMP43424	44	0-50
nonAMP89861	44	0-50
nonAMP117485	47	0-50
nonAMP98892	33	0-50
nonAMP136163	10	0-50
nonAMP13212	40	0-50
nonAMP116102	41	0-50
nonAMP161592	36	0-50
nonAMP110172	9	0-50
nonAMP57543	49	0-50
nonAMP97517	36	0-50
nonAMP48220	37	0-50
nonAMP85295	26	0-50
nonAMP8329	33	0-50
nonAMP103612	13	0-50
nonAMP115466	10	0-50
nonAMP35632	24	0-50
nonAMP55705	44	0-50
nonAMP57247	43	0-50
nonAMP37309	13	0-50
nonAMP11687	38	0-50
nonAMP121046	36	0-50
nonAMP93545	45	0-50
nonAMP146466	49	0-50
nonAMP87262	13	0-50
nonAMP159643	37	0-50
nonAMP140516	46	0-50
nonAMP48494	29	0-50
nonAMP23257	25	0-50
nonAMP98900	38	0-50
nonAMP162909	37	0-50
nonAMP155379	42	0-50
nonAMP99390	20	0-50
nonAMP92274	33	0-50
nonAMP70340	41	0-50
nonAMP2072	28	0-50
nonAMP131734	15	0-50
nonAMP113566	39	0-50
nonAMP120985	15	0-50
nonAMP88853	31	0-50
nonAMP90960	44	0-50
nonAMP109136	21	0-50
nonAMP42821	29	0-50
nonAMP50116	37	0-50
nonAMP58825	31	0-50
nonAMP117509	31	0-50
nonAMP37330	28	0-50
nonAMP43707	24	0-50
nonAMP30337	31	0-50
nonAMP160551	37	0-50
nonAMP131889	45	0-50
nonAMP59921	30	0-50
nonAMP109208	45	0-50
nonAMP88604	31	0-50
nonAMP103731	49	0-50
nonAMP120170	39	0-50
nonAMP48377	15	0-50
nonAMP154811	19	0-50
nonAMP17040	31	0-50
nonAMP148140	49	0-50
nonAMP120511	31	0-50
nonAMP45941	45	0-50
nonAMP121919	34	0-50
nonAMP111284	32	0-50
nonAMP55230	44	0-50
nonAMP97366	44	0-50
nonAMP37569	14	0-50
nonAMP93647	49	0-50
nonAMP160822	25	0-50
nonAMP101159	14	0-50
nonAMP163329	50	0-50
nonAMP18036	15	0-50
nonAMP42064	11	0-50
nonAMP164508	13	0-50
nonAMP92436	20	0-50
nonAMP18483	34	0-50
nonAMP42623	7	0-50
nonAMP98955	38	0-50
nonAMP94886	17	0-50
nonAMP80105	50	0-50
nonAMP161076	41	0-50
nonAMP87459	44	0-50
nonAMP30661	45	0-50
nonAMP27553	37	0-50
nonAMP128365	20	0-50
nonAMP134788	49	0-50
nonAMP161489	50	0-50
nonAMP44780	36	0-50
nonAMP26972	44	0-50
nonAMP3559	24	0-50
nonAMP89573	14	0-50
nonAMP12524	31	0-50
nonAMP128586	15	0-50
nonAMP38128	24	0-50
nonAMP37956	31	0-50
nonAMP121058	9	0-50
nonAMP49276	19	0-50
nonAMP91956	35	0-50
nonAMP17158	45	0-50
nonAMP68680	33	0-50
nonAMP49086	48	0-50
nonAMP8461	37	0-50
nonAMP104052	30	0-50
nonAMP21587	50	0-50
nonAMP39952	15	0-50
nonAMP1356	41	0-50
nonAMP2504	10	0-50
nonAMP10986	50	0-50
nonAMP23571	44	0-50
nonAMP55896	46	0-50
nonAMP80080	15	0-50
